,icl_prompt,ground_truth,target_attributes,GPT 4 Response,borncity,diedcity,city
928,"Heike, Kamerlingh Onnes, ""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium"", Physics: Leiden
Richard E., Taylor, ""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"", Physics: Stanford CA
Robert G., Edwards, ""for the development of in vitro fertilization"", Medicine: Cambridge
Charles G., Dawes, ""for his crucial role in bringing about the Dawes Plan"", Peace: ",Evanston IL,diedcity,"Chicago, IL",Marietta OH,Evanston IL,
929,"T.S., Eliot, ""for his outstanding pioneer contribution to present-day poetry"", Literature: London
Georges, Pire, ""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity"", Peace: Leuven
Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: Munich
Günter, Grass, ""whose frolicsome black fables portray the forgotten face of history"", Literature: ",Lübeck,diedcity,Lübeck,Danzig (now Gdansk),Lübeck,
930,"Eugenio, Montale, ""for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions"", Literature: Milan
Edmond H., Fischer, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: Seattle WA
Jan, Tinbergen, ""for having developed and applied dynamic models for the analysis of economic processes"", Economics: the Hague
James, Franck, ""for their discovery of the laws governing the impact of an electron upon an atom"", Physics: ",Göttingen,diedcity,Göttingen,Hamburg,Göttingen,Göttingen
931,"Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: Eastbourne
Léon, Bourgeois, ""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations"", Peace: Épernay
Severo, Ochoa, ""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"", Medicine: Madrid
Maurice, Maeterlinck, ""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"", Literature: ",Nice,diedcity,Ghent,Ghent,Nice,
932,"Frans Eemil, Sillanpää, ""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature"", Literature: Helsinki
Norman, Borlaug, ""for having given a well-founded hope - the green revolution"", Peace: Dallas TX
Archer J.P., Martin, ""for their invention of partition chromatography"", Chemistry: Llangarron
Desmond, Tutu, ""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa"", Peace: ",Cape Town,diedcity,Klerksdorp,Klerksdorp,Cape Town,
933,"Knut, Hamsun, ""for his monumental work <I>Growth of the Soil</I>"", Literature: Grimstad
Paul J., Flory, ""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"", Chemistry: Big Sur CA
Robert W., Holley, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: Los Gatos CA
Paul A., Samuelson, ""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science"", Economics: ",Belmont MA,diedcity,Gary IN,Gary IN,Belmont MA,Cambridge MA
934,"Reinhard, Selten, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Poznan
Willard S., Boyle, ""for the invention of an imaging semiconductor circuit - the CCD sensor"", Physics: Truro NS
Carl, Spitteler, ""in special appreciation of his epic <I>Olympian Spring</I>"", Literature: Lucerne
Norman F., Ramsey, ""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"", Physics: ",Wayland MA,diedcity,"Washington, D.C.",Washington D.C.,Wayland MA,Cambridge MA
935,"Alan, Hodgkin, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: Cambridge
Christiaan, Eijkman, ""for his discovery of the antineuritic vitamin"", Medicine: Utrecht
Thomas H., Morgan, ""for his discoveries concerning the role played by the chromosome in heredity"", Medicine: Pasadena CA
George D., Snell, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: ",Bar Harbor ME,diedcity,Bar Harbor ME,Bradford MA,Bar Harbor ME,Bar Harbor ME
936,"Roger Y., Tsien, ""for the discovery and development of the green fluorescent protein GFP"", Chemistry: Eugene OR
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: Boston MA
Adolf, Butenandt, ""for his work on sex hormones"", Chemistry: Munich
Frédéric, Passy, ""for his lifelong work for international peace conferences diplomacy and arbitration"", Peace: ",Paris,diedcity,Paris,Paris,Paris,
937,"Louis, de Broglie, ""for his discovery of the wave nature of electrons"", Physics: Paris
William B., Shockley, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: Palo Alto CA
John C., Harsanyi, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Berkeley CA
Verner, von Heidenstam, ""in recognition of his significance as the leading representative of a new era in our literature"", Literature: ",Övralid,diedcity,Övralid,Olshammar,Övralid,
938,"Günter, Grass, ""whose frolicsome black fables portray the forgotten face of history"", Literature: Lübeck
Eugene, O'Neill, ""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy"", Literature: Boston MA
Lloyd S., Shapley, ""for the theory of stable allocations and the practice of market design"", Economics: Tucson AZ
Wilhelm, Ostwald, ""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"", Chemistry: ",Leipzig,diedcity,Leipzig,Riga,Leipzig,Leipzig
939,"John C., Kendrew, ""for their studies of the structures of globular proteins"", Chemistry: Cambridge
Richard R., Ernst, ""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"", Chemistry: Winterthur
Jane, Addams, ""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind"", Peace: Chicago IL
Archer J.P., Martin, ""for their invention of partition chromatography"", Chemistry: ",Llangarron,diedcity,London,London,Llangarron,London
940,"Nicholas Murray, Butler, ""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind"", Peace: New York NY
Isaac Bashevis, Singer, ""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life"", Literature: Surfside FL
Jacinto, Benavente, ""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"", Literature: Madrid
Léon, Bourgeois, ""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations"", Peace: ",Épernay,diedcity,Château de Coulonges,Paris,Épernay,
941,"Manne, Siegbahn, ""for his discoveries and research in the field of X-ray spectroscopy"", Physics: Stockholm
Julian, Schwinger, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: Los Angeles CA
Yasunari, Kawabata, ""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind"", Literature: Zushi
Grazia, Deledda, ""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"", Literature: ",Rome,diedcity,Nuoro,Nuoro Sardinia,Rome,
942,"Alva, Myrdal, ""for their work for disarmament and nuclear and weapon-free zones"", Peace: Stockholm
Stanley, Cohen, ""for their discoveries of growth factors"", Medicine: Nashville TN
Sir Frank Macfarlane, Burnet, ""for discovery of acquired immunological tolerance"", Medicine: Melbourne
Arthur, Kornberg, ""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"", Medicine: ",Stanford CA,diedcity,St. Louis MO,Brooklyn NY,Stanford CA,Stanford CA
943,"Arthur L., Schawlow, ""for their contribution to the development of laser spectroscopy"", Physics: Palo Alto CA
Albert A., Michelson, ""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"", Physics: Pasadena CA
Masatoshi, Koshiba, ""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos"", Physics: Tokyo
Élie, Ducommun, ""for his untiring and skilful directorship of the Bern Peace Bureau"", Peace: ",Bern,diedcity,Bern,Geneva,Bern,
944,"Robert, Mundell, ""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"", Economics: Siena
Jerome, Karle, ""for their outstanding achievements in the development of direct methods for the determination of crystal structures"", Chemistry: Annandale VA
Imre, Kertész, ""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"", Literature: Budapest
James, Rainwater, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: ",Yonkers NY,diedcity,"Red Bank, NJ",Council ID,Yonkers NY,New York NY
945,"Eugene, Wigner, ""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles"", Physics: Princeton NJ
Paul J., Flory, ""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"", Chemistry: Big Sur CA
Paul C., Lauterbur, ""for their discoveries concerning magnetic resonance imaging"", Medicine: Urbana IL
Emilio, Segrè, ""for their discovery of the antiproton"", Physics: ",Lafayette CA,diedcity,"Lafayette CA Owen, Chamberlain, ""for their discovery of the antiproton"", Physics: San Francisco CA",Tivoli,Lafayette CA,Berkeley CA
946,"Menachem, Begin, ""for jointly having negotiated peace between Egypt and Israel in 1978"", Peace: Tel Aviv
David H., Hubel, ""for their discoveries concerning information processing in the visual system"", Medicine: Lincoln MA
Jacinto, Benavente, ""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"", Literature: Madrid
William H., Stein, ""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"", Chemistry: ",New York NY,diedcity,New York,New York NY,New York NY,New York NY
947,"Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: Eastbourne
Raymond, Davis Jr., ""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos"", Physics: Blue Point NY
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Bridgetown
Gerhart, Hauptmann, ""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art"", Literature: ",Agnetendorf (now Jagniatków),diedcity,Bad Salzbrunn,Bad Salzbrunn,Agnetendorf (now Jagniatków),
948,"Joshua, Lederberg, ""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"", Medicine: New York NY
Peter, Grünberg, ""for the discovery of Giant Magnetoresistance"", Physics: Jülich
James M., Buchanan Jr., ""for his development of the contractual and constitutional bases for the theory of economic and political decision-making"", Economics: Blacksburg VA
Jack, Kilby, ""for his part in the invention of the integrated circuit"", Physics: ",Dallas TX,diedcity,Dallas TX,Jefferson City MO,Dallas TX,Dallas TX
949,"Elihu, Root, ""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries"", Peace: New York NY
Karl, Gjellerup, ""for his varied and rich poetry which is inspired by lofty ideals"", Literature: Klotzsche
Edward B., Lewis, ""for their discoveries concerning the genetic control of early embryonic development"", Medicine: Pasadena CA
Arthur, Harden, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: ",Bourne,diedcity,London,Manchester,Bourne,London
950,"Selman A., Waksman, ""for his discovery of streptomycin the first antibiotic effective against tuberculosis"", Medicine: Hyannis MA
Richard, Stone, ""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis"", Economics: Cambridge
Reinhard, Selten, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Poznan
Carl D., Anderson, ""for his discovery of the positron"", Physics: ",San Marino CA,diedcity,"New York, NY",New York NY,San Marino CA,Pasadena CA
951,"Gary, Becker, ""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"", Economics: Chicago IL
Elias, Canetti, ""for writings marked by a broad outlook a wealth of ideas and artistic power"", Literature: Zurich
Georg, von Békésy, ""for his discoveries of the physical mechanism of stimulation within the cochlea"", Medicine: Honolulu HI
Daniel, Nathans, ""for the discovery of restriction enzymes and their application to problems of molecular genetics"", Medicine: ",Baltimore MD,diedcity,"Baltimore MD Hamilton, Smith, ""for the discovery of restriction enzymes and their application to problems of molecular genetics"", Medicine: Baltimore MD",Wilmington DE,Baltimore MD,Baltimore MD
952,"Shimon, Peres, ""for their efforts to create peace in the Middle East"", Peace: Tel Aviv
Georg, von Békésy, ""for his discoveries of the physical mechanism of stimulation within the cochlea"", Medicine: Honolulu HI
Max, Theiler, ""for his discoveries concerning yellow fever and how to combat it"", Medicine: New Haven CT
Albert A., Michelson, ""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"", Physics: ",Pasadena CA,diedcity,Pasadena CA,Strelno (now Strzelno),Pasadena CA,Chicago IL
953,"Geoffrey, Wilkinson, ""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds"", Chemistry: London
Gerald M., Edelman, ""for their discoveries concerning the chemical structure of antibodies"", Medicine: La Jolla CA
Frederick, Soddy, ""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes"", Chemistry: Brighton
Steven, Weinberg, ""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"", Physics: ",Austin TX,diedcity,"Cambridge, MA",New York NY,Austin TX,Cambridge MA
954,"Konrad, Bloch, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: Burlington MA
Sir Norman, Angell, ""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace"", Peace: Croydon
Edgar, Adrian, ""for their discoveries regarding the functions of neurons"", Medicine: Cambridge
Frédéric, Mistral, ""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist"", Literature: ",Maillane,diedcity,Maillane,Maillane,Maillane,
955,"Max, Planck, ""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta"", Physics: Göttingen
Ernest T.S., Walton, ""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"", Physics: Belfast
Kofi, Annan, ""for their work for a better organized and more peaceful world"", Peace: Bern
Winston, Churchill, ""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"", Literature: ",London,diedcity,London,Woodstock,London,
956,"Randal, Cremer, ""for his longstanding and devoted effort in favour of the ideas of peace and arbitration"", Peace: London
Le Duc Tho, ""for jointly having negotiated a cease fire in Vietnam in 1973"", Peace: Hanoi
John, Steinbeck, ""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception"", Literature: New York NY
Hans, Bethe, ""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars"", Physics: ",Ithaca NY,diedcity,"Ithaca, NY",Strasbourg,Ithaca NY,Ithaca NY
957,"Frederick, Sanger, ""for his work on the structure of proteins especially that of insulin"", Chemistry: Cambridge
Heinrich, Rohrer, ""for their design of the scanning tunneling microscope"", Physics: Wollerau
Frédéric, Mistral, ""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist"", Literature: Maillane
Elinor, Ostrom, ""for her analysis of economic governance especially the commons"", Economics: ",Bloomington IN,diedcity,Bloomington,Los Angeles CA,Bloomington IN,Bloomington IN
958,"Marie, Curie, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", Physics: Sallanches
Lloyd S., Shapley, ""for the theory of stable allocations and the practice of market design"", Economics: Tucson AZ
Theodore W., Schultz, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Evanston IL
Jerome, Karle, ""for their outstanding achievements in the development of direct methods for the determination of crystal structures"", Chemistry: ",Annandale VA,diedcity,"New York, NY",New York NY,Annandale VA,Washington D.C.
959,"Arvid, Carlsson, ""for their discoveries concerning signal transduction in the nervous system"", Medicine: Gothenburg
Rudyard, Kipling, ""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"", Literature: London
Albert A., Michelson, ""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"", Physics: Pasadena CA
Pierre, Curie, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", Physics: ",Paris,diedcity,"Paris Marie, Curie, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", Physics: Paris Henri, Moissan, ""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace"", Chemistry: Paris Camillo, Golgi, ""in recognition of their work on the structure of the nervous system"", Medicine: Pavia Santiago, Ramón y Cajal, ""in recognition of their work on the structure of the nervous system"", Medicine: Madrid",Paris,Paris,Paris
960,"Selman A., Waksman, ""for his discovery of streptomycin the first antibiotic effective against tuberculosis"", Medicine: Hyannis MA
Frédéric, Passy, ""for his lifelong work for international peace conferences diplomacy and arbitration"", Peace: Paris
Philip, Noel-Baker, ""for his longstanding contribution to the cause of disarmament and peace"", Peace: London
Robert, Hofstadter, ""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"", Physics: ",Stanford CA,diedcity,"Stanford, CA",New York NY,Stanford CA,Stanford CA
961,"André, Gide, ""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"", Literature: Paris
Glenn T., Seaborg, ""for their discoveries in the chemistry of the transuranium elements"", Chemistry: Lafayette CA
Imre, Kertész, ""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"", Literature: Budapest
Robert F., Furchgott, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: ",Seattle WA,diedcity,"Woodbury, NY",Charleston SC,Seattle WA,Brooklyn NY
962,"Tjalling C., Koopmans, ""for their contributions to the theory of optimum allocation of resources"", Economics: New Haven CT
Bertha, von Suttner, ""for her audacity to oppose the horrors of war"", Peace: Vienna
Hjalmar, Branting, ""for their lifelong contributions to the cause of peace and organized internationalism"", Peace: Stockholm
Walther, Bothe, ""for the coincidence method and his discoveries made therewith"", Physics: ",Heidelberg,diedcity,Heidelberg,Oranienburg,Heidelberg,Heidelberg
963,"Harold C., Urey, ""for his discovery of heavy hydrogen"", Chemistry: La Jolla CA
Isidor Isaac, Rabi, ""for his resonance method for recording the magnetic properties of atomic nuclei"", Physics: New York NY
Raymond, Davis Jr., ""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos"", Physics: Blue Point NY
Felix, Bloch, ""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"", Physics: ",Zurich,diedcity,"Zurich, Switzerland",Zurich,Zurich,Stanford CA
964,"Erik Axel, Karlfeldt, ""The poetry of Erik Axel Karlfeldt"", Literature: Stockholm
James, Rainwater, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: Yonkers NY
John C., Harsanyi, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Berkeley CA
Guglielmo, Marconi, ""in recognition of their contributions to the development of wireless telegraphy"", Physics: ",Rome,diedcity,"Bologna, Italy",Bologna,Rome,London
965,"Derek, Barton, ""for their contributions to the development of the concept of conformation and its application in chemistry"", Chemistry: College Station TX
Gunnar, Myrdal, ""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena"", Economics: Stockholm
Charles G., Dawes, ""for his crucial role in bringing about the Dawes Plan"", Peace: Evanston IL
Robert W., Holley, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: ",Los Gatos CA,diedcity,Ithaca NY,Urbana IL,Los Gatos CA,Ithaca NY
966,"George, Wald, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: Cambridge MA
George E., Palade, ""for their discoveries concerning the structural and functional organization of the cell"", Medicine: Del Mar CA
Grazia, Deledda, ""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"", Literature: Rome
Yves, Chauvin, ""for the development of the metathesis method in organic synthesis"", Chemistry: ",Tours,diedcity,"Rueil-Malmaison, France",Menin,Tours,Rueil-Malmaison
967,"Jerome, Karle, ""for their outstanding achievements in the development of direct methods for the determination of crystal structures"", Chemistry: Annandale VA
David H., Hubel, ""for their discoveries concerning information processing in the visual system"", Medicine: Lincoln MA
Gabriel, García Márquez, ""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts"", Literature: Mexico City
Edgar, Adrian, ""for their discoveries regarding the functions of neurons"", Medicine: ",Cambridge,diedcity,"Cambridge, United Kingdom",London,Cambridge,Cambridge
968,"Simon, van der Meer, ""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction"", Physics: Geneva
Godfrey N., Hounsfield, ""for the development of computer assisted tomography"", Medicine: Kingston upon Thames
Claude, Simon, ""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition"", Literature: Paris
Gabriela, Mistral, ""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world"", Literature: ",Hempstead NY,diedcity,Vicuña,Vicuña,Hempstead NY,
969,"Archibald V., Hill, ""for his discovery relating to the production of heat in the muscle"", Medicine: Cambridge
Albert, Claude, ""for their discoveries concerning the structural and functional organization of the cell"", Medicine: Brussels
Simon, Kuznets, ""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development"", Economics: Cambridge MA
Thomas H., Morgan, ""for his discoveries concerning the role played by the chromosome in heredity"", Medicine: ",Pasadena CA,diedcity,Pasadena,Lexington KY,Pasadena CA,Pasadena CA
970,"George R., Minot, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: Brookline MA
Sir Austen, Chamberlain, ""for his crucial role in bringing about the Locarno Treaty"", Peace: London
Charles Glover, Barkla, ""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"", Physics: Edinburgh
Donald J., Cram, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: ",Palm Desert CA,diedcity,"Los Angeles, CA",Chester VT,Palm Desert CA,Los Angeles CA
971,"Derek, Walcott, ""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment"", Literature: Gros-Islet
Jacobus H., van 't Hoff, ""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"", Chemistry: Berlin
Boris, Pasternak, ""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"", Literature: Peredelkino
Sune K., Bergström, ""for their discoveries concerning prostaglandins and related biologically active substances"", Medicine: ",Stockholm,diedcity,Stockholm,Stockholm,Stockholm,Stockholm
972,"Owen, Chamberlain, ""for their discovery of the antiproton"", Physics: Berkeley CA
Herbert C., Brown, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: West Lafayette IN
William, Lipscomb, ""for his studies on the structure of boranes illuminating problems of chemical bonding"", Chemistry: Cambridge MA
Nicolaas, Bloembergen, ""for their contribution to the development of laser spectroscopy"", Physics: ",Cambridge MA,city,"Cambridge MA Arthur Leonard, Schawlow, ""for their contribution to the development of laser spectroscopy"", Physics: Stanford CA Roger W., Sperry, ""for his discoveries concerning the functional specialization of the cerebral hemispheres"", Medicine: Pasadena CA David H., Hubel, ""for their discoveries concerning information processing in the visual system"", Medicine: Boston MA Torsten N., Wiesel, ""for their discoveries concerning information processing in the visual system"", Medicine: Boston MA",Dordrecht,Tucson AZ,Cambridge MA
973,"Youyou, Tu, ""for her discoveries concerning a novel therapy against Malaria"", Medicine: Beijing
Leon M., Lederman, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: Batavia IL
Godfrey N., Hounsfield, ""for the development of computer assisted tomography"", Medicine: London
Roger D., Kornberg, ""for his studies of the molecular basis of eukaryotic transcription"", Chemistry: ",Stanford CA,city,"Stanford, CA",St. Louis MO,,Stanford CA
974,"George P., Smith, ""for the phage display of peptides and antibodies"", Chemistry: Columbia
David J., Gross, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: Santa Barbara CA
Robert S., Mulliken, ""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"", Chemistry: Chicago IL
Edwin M., McMillan, ""for their discoveries in the chemistry of the transuranium elements"", Chemistry: ",Berkeley CA,city,Berkeley CA,Redondo Beach CA,El Cerrito CA,Berkeley CA
975,"Edvard I., Moser, ""for their discoveries of cells that constitute a positioning system in the brain"", Medicine: Trondheim
Corneille, Heymans, ""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration"", Medicine: Ghent
Roy J., Glauber, ""for his contribution to the quantum theory of optical coherence"", Physics: Cambridge MA
Ilya, Prigogine, ""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures"", Chemistry: ",Brussels,city,Brussels,Moscow,Brussels,Brussels
976,"Alfred, Werner, ""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"", Chemistry: Zurich
David, Baltimore, ""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"", Medicine: Cambridge MA
Peter, Medawar, ""for discovery of acquired immunological tolerance"", Medicine: London
Svante, Arrhenius, ""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"", Chemistry: ",Stockholm,city,Stockholm,Vik,Stockholm,Stockholm
977,"Frederick, Sanger, ""for their contributions concerning the determination of base sequences in nucleic acids"", Chemistry: Cambridge
William, Lipscomb, ""for his studies on the structure of boranes illuminating problems of chemical bonding"", Chemistry: Cambridge MA
George, Wald, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: Cambridge MA
Theodore W., Richards, ""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements"", Chemistry: ",Cambridge MA,city,Cambridge,Germantown PA,Cambridge MA,Cambridge MA
978,"Louis, Renault, ""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences"", Peace: Paris
Karl, Ziegler, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: Mülheim an der Ruhr
Paul, Krugman, ""for his analysis of trade patterns and location of economic activity"", Economics: Princeton NJ
Otto, Loewi, ""for their discoveries relating to chemical transmission of nerve impulses"", Medicine: ",Graz,city,Graz,Frankfurt-on-the-Main,New York NY,Graz
979,"Gerhard, Herzberg, ""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals"", Chemistry: Ottawa
Bruce A., Beutler, ""for their discoveries concerning the activation of innate immunity"", Medicine: Dallas TX
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Princeton NJ
Peter, Higgs, ""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider"", Physics: ",Edinburgh,city,Edinburgh,Newcastle upon Tyne,,Edinburgh
980,"Stanley, Cohen, ""for their discoveries of growth factors"", Medicine: Nashville TN
Louis, Néel, ""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"", Physics: Grenoble
Giulio, Natta, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: Milan
Alfred, Kastler, ""for the discovery and development of optical methods for studying Hertzian resonances in atoms"", Physics: ",Paris,city,Paris,Guebwiller,Bandol,Paris
