,icl_prompt,ground_truth,target_attributes,GPT 4 Response,born,died,year
789,"D. Carleton, Gajdusek, ""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"", Medicine: 2008
Élie, Ducommun, ""for his untiring and skilful directorship of the Bern Peace Bureau"", Peace: 1906
Leon M., Lederman, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: 2018
Jean, Dausset, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: ",2009,died,1980,1916,2009,1980
790,"George, Wald, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: 1997
Carl, Spitteler, ""in special appreciation of his epic <I>Olympian Spring</I>"", Literature: 1924
Edwin G., Krebs, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: 2009
Norman F., Ramsey, ""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"", Physics: ",2011,died,1989,1915,2011,1989
791,"H. Gobind, Khorana, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: 2011
John C., Kendrew, ""for their studies of the structures of globular proteins"", Chemistry: 1997
Grazia, Deledda, ""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"", Literature: 1936
Murray, Gell-Mann, ""for his contributions and discoveries concerning the classification of elementary particles and their interactions"", Physics: ",2019,died,1969,1929,2019,1969
792,"Jean Baptiste, Perrin, ""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium"", Physics: 1942
Roger W., Sperry, ""for his discoveries concerning the functional specialization of the cerebral hemispheres"", Medicine: 1994
William B., Shockley, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: 1989
Albrecht, Kossel, ""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances"", Medicine: ",1927,died,1910,1853,1927,1910
793,"Frits, Zernike, ""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope"", Physics: 1966
Kofi, Annan, ""for their work for a better organized and more peaceful world"", Peace: 2018
Felix, Bloch, ""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"", Physics: 1983
Yasunari, Kawabata, ""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind"", Literature: ",1972,died,1968,1899,1972,1968
794,"Albert, Einstein, ""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect"", Physics: 1955
Louis, Néel, ""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"", Physics: 2000
Stanford, Moore, ""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"", Chemistry: 1982
Aristide, Briand, ""for their crucial role in bringing about the Locarno Treaty"", Peace: ",1932,died,1926,1862,1932,1926
795,"Alfred, Werner, ""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"", Chemistry: 1919
Simon, Kuznets, ""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development"", Economics: 1985
Dario, Fo, ""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden"", Literature: 2016
Edgar, Adrian, ""for their discoveries regarding the functions of neurons"", Medicine: ",1977,died,1932,1889,1977,1932
796,"Max, Born, ""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction"", Physics: 1970
Max F., Perutz, ""for their studies of the structures of globular proteins"", Chemistry: 2002
Juan Ramón, Jiménez, ""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity"", Literature: 1958
Nicolay G., Basov, ""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle"", Physics: ",2001,died,1964,1922,2001,1964
797,"Tjalling C., Koopmans, ""for their contributions to the theory of optimum allocation of resources"", Economics: 1985
Winston, Churchill, ""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"", Literature: 1965
Murray, Gell-Mann, ""for his contributions and discoveries concerning the classification of elementary particles and their interactions"", Physics: 2019
Ivo, Andric, ""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country"", Literature: ",1975,died,1961,1892,1975,1961
798,"Georg, Wittig, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: 1987
Carl D., Anderson, ""for his discovery of the positron"", Physics: 1991
Pär, Lagerkvist, ""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"", Literature: 1974
Kary B., Mullis, ""for his invention of the polymerase chain reaction (PCR) method"", Chemistry: ",2019,died,1993,1944,2019,1993
799,"Willard S., Boyle, ""for the invention of an imaging semiconductor circuit - the CCD sensor"", Physics: 2011
Derek, Walcott, ""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment"", Literature: 2017
Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: 1952
Rabindranath, Tagore, ""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West"", Literature: ",1941,died,1913,1861,1941,1913
800,"Vitaly L., Ginzburg, ""for pioneering contributions to the theory of superconductors and superfluids"", Physics: 2009
Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: 1979
T.S., Eliot, ""for his outstanding pioneer contribution to present-day poetry"", Literature: 1965
Manfred, Eigen, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: ",2019,died,1967,1927,2019,1967
801,"Thomas, Mann, ""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature"", Literature: 1955
Egas, Moniz, ""for his discovery of the therapeutic value of leucotomy in certain psychoses"", Medicine: 1955
Jacques, Monod, ""for their discoveries concerning genetic control of enzyme and virus synthesis"", Medicine: 1976
Max, Delbrück, ""for their discoveries concerning the replication mechanism and the genetic structure of viruses"", Medicine: ",1981,died,1969,1906,1981,1969
802,"Robert, Mundell, ""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"", Economics: 2021
Johannes Diderik, van der Waals, ""for his work on the equation of state for gases and liquids"", Physics: 1923
Jean-Paul, Sartre, ""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age"", Literature: 1980
Aage N., Bohr, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: ",2009,died,1975,1922,2009,1975
803,"Anwar, al-Sadat, ""for jointly having negotiated peace between Egypt and Israel in 1978"", Peace: 1981
Renato, Dulbecco, ""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"", Medicine: 2012
Corneille, Heymans, ""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration"", Medicine: 1968
George C., Marshall, ""for proposing and supervising the plan for the economic recovery of Europe"", Peace: ",1959,died,1953,1880,1959,1953
804,"Frederick, Sanger, ""for their contributions concerning the determination of base sequences in nucleic acids"", Chemistry: 2013
Kenneth G., Wilson, ""for his theory for critical phenomena in connection with phase transitions"", Physics: 2013
Otto, Meyerhof, ""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"", Medicine: 1951
Hans, Fischer, ""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"", Chemistry: ",1945,died,1930,1881,1945,1930
805,"Pyotr, Kapitsa, ""for his basic inventions and discoveries in the area of low-temperature physics"", Physics: 1984
Thomas A., Steitz, ""for studies of the structure and function of the ribosome"", Chemistry: 2018
Steven, Weinberg, ""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"", Physics: 2021
Charles Glover, Barkla, ""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"", Physics: ",1944,died,1917,1877,1944,1917
806,"Eugene, Wigner, ""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles"", Physics: 1995
Alexei, Abrikosov, ""for pioneering contributions to the theory of superconductors and superfluids"", Physics: 2017
Richard, Kuhn, ""for his work on carotenoids and vitamins"", Chemistry: 1967
Frederick, Soddy, ""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes"", Chemistry: ",1956,died,1921,1877,1956,1921
807,"Louis, Néel, ""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"", Physics: 2000
George, Wald, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: 1997
Jaroslav, Seifert, ""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"", Literature: 1986
Elinor, Ostrom, ""for her analysis of economic governance especially the commons"", Economics: ",2012,died,2009,1933,2012,2009
808,"Severo, Ochoa, ""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"", Medicine: 1993
George R., Minot, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: 1950
Patrick, White, ""for an epic and psychological narrative art which has introduced a new continent into literature"", Literature: 1990
William Butler, Yeats, ""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation"", Literature: ",1939,died,1923,1865,1939,1923
809,"Renato, Dulbecco, ""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"", Medicine: 2012
Hannes, Alfvén, ""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics"", Physics: 1995
John C., Kendrew, ""for their studies of the structures of globular proteins"", Chemistry: 1997
Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: ",1952,died,1932,1857,1952,1932
810,"James E., Meade, ""for their pathbreaking contribution to the theory of international trade and international capital movements"", Economics: 1995
Jaroslav, Heyrovsky, ""for his discovery and development of the polarographic methods of analysis"", Chemistry: 1967
Gabriel, Lippmann, ""for his method of reproducing colours photographically based on the phenomenon of interference"", Physics: 1921
Heinrich, Böll, ""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"", Literature: ",1985,died,1972,1917,1985,1972
811,"Willis E., Lamb, ""for his discoveries concerning the fine structure of the hydrogen spectrum"", Physics: 2008
Karl, Ziegler, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: 1973
Selma, Lagerlöf, ""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings"", Literature: 1940
Isidor Isaac, Rabi, ""for his resonance method for recording the magnetic properties of atomic nuclei"", Physics: ",1988,died,1944,1898,1988,1944
812,"Paul, Ehrlich, ""in recognition of their work on immunity"", Medicine: 1915
Martin, Rodbell, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: 1998
Menachem, Begin, ""for jointly having negotiated peace between Egypt and Israel in 1978"", Peace: 1992
Albert, Einstein, ""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect"", Physics: ",1955,died,1921,1879,1955,1921
813,"Fredrik, Bajer, ""for their long time work for the cause of peace as politicians peace society leaders orators and authors"", Peace: 1922
Theodore, Roosevelt, ""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia"", Peace: 1919
Pablo, Neruda, ""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams"", Literature: 1973
Norman, Borlaug, ""for having given a well-founded hope - the green revolution"", Peace: ",2009,died,1970,1914,2009,1970
814,"Frederick, Soddy, ""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes"", Chemistry: 1956
Herbert A., Hauptman, ""for their outstanding achievements in the development of direct methods for the determination of crystal structures"", Chemistry: 2011
François, Jacob, ""for their discoveries concerning genetic control of enzyme and virus synthesis"", Medicine: 2013
John C., Kendrew, ""for their studies of the structures of globular proteins"", Chemistry: ",1997,died,1962,1917,1997,1962
815,"Enrico, Fermi, ""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons"", Physics: 1954
Lawrence R., Klein, ""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"", Economics: 2013
John C., Harsanyi, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: 2000
George Bernard, Shaw, ""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty"", Literature: ",1950,died,1925,1856,1950,1925
816,"Joseph, Brodsky, ""for an all-embracing authorship imbued with clarity of thought and poetic intensity"", Literature: 1996
Hans, Bethe, ""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars"", Physics: 2005
Saul, Bellow, ""for the human understanding and subtle analysis of contemporary culture that are combined in his work"", Literature: 2005
Salvatore, Quasimodo, ""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times"", Literature: ",1968,died,1959,1901,1968,1959
817,"Hendrik A., Lorentz, ""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"", Physics: 1928
George H., Whipple, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: 1976
Johannes Diderik, van der Waals, ""for his work on the equation of state for gases and liquids"", Physics: 1923
Bertil, Ohlin, ""for their pathbreaking contribution to the theory of international trade and international capital movements"", Economics: ",1979,died,1977,1899,1979,1977
818,"Irène, Joliot-Curie, ""in recognition of their synthesis of new radioactive elements"", Chemistry: 1956
Robert A., Millikan, ""for his work on the elementary charge of electricity and on the photoelectric effect"", Physics: 1953
Wilhelm, Ostwald, ""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction"", Chemistry: 1932
Hans, Spemann, ""for his discovery of the organizer effect in embryonic development"", Medicine: ",1941,died,1935,1869,1941,1935
819,"Knut, Hamsun, ""for his monumental work <I>Growth of the Soil</I>"", Literature: 1952
Ludwig, Quidde, ""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation"", Peace: 1941
Winston, Churchill, ""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"", Literature: 1965
Albert, Camus, ""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times"", Literature: ",1960,died,1957,1913,1960,1957
820,"Tadeus, Reichstein, ""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects"", Medicine: 1996
Ludwig, Quidde, ""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation"", Peace: 1941
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: 1991
Sydney, Brenner, ""for their discoveries concerning genetic regulation of organ development and programmed cell death'"", Medicine: ",2019,died,2002,1927,2019,2002
821,"Mikhail, Sholokhov, ""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people"", Literature: 1984
Charles H., Townes, ""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle"", Physics: 2015
George J., Stigler, ""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation"", Economics: 1991
Robert H., Grubbs, ""for the development of the metathesis method in organic synthesis"", Chemistry: ",2021,died,2005,1942,2021,2005
822,"Paul J., Flory, ""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"", Chemistry: 1985
Owen, Chamberlain, ""for their discovery of the antiproton"", Physics: 2006
John F., Nash Jr., ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: 2015
Derek, Walcott, ""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment"", Literature: ",2017,died,1992,1930,2017,1992
823,"Hideki, Yukawa, ""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"", Physics: 1981
Czeslaw, Milosz, ""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts"", Literature: 2004
Elias, Canetti, ""for writings marked by a broad outlook a wealth of ideas and artistic power"", Literature: 1994
William, Golding, ""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today"", Literature: ",1993,died,1983,1911,1993,1983
824,"Geoffrey, Wilkinson, ""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds"", Chemistry: 1996
Leonid, Hurwicz, ""for having laid the foundations of mechanism design theory"", Economics: 2008
Ilya, Prigogine, ""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures"", Chemistry: 2003
John, Bardeen, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: ",1991,died,1956,1908,1991,1956
825,"Dale T., Mortensen, ""for their analysis of markets with search frictions"", Economics: 2014
Alfred, Werner, ""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"", Chemistry: 1919
Robert F., Furchgott, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: 2009
Hjalmar, Branting, ""for their lifelong contributions to the cause of peace and organized internationalism"", Peace: ",1925,died,1921,1860,1925,1921
826,"Henry W., Kendall, ""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"", Physics: 1999
Salvatore, Quasimodo, ""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times"", Literature: 1968
Arthur, Henderson, ""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"", Peace: 1935
Ernst Otto, Fischer, ""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds"", Chemistry: ",2007,died,1973,1918,2007,1973
827,"Ei-ichi, Negishi, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: 2021
Victor F., Hess, ""for his discovery of cosmic radiation"", Physics: 1964
Alan, MacDiarmid, ""for the discovery and development of conductive polymers"", Chemistry: 2007
Peter, Mitchell, ""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory"", Chemistry: ",1992,died,1978,1920,1992,1978
828,"Theodore W., Richards, ""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements"", Chemistry: 1928
Alfred G., Gilman, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: 2015
Derek, Barton, ""for their contributions to the development of the concept of conformation and its application in chemistry"", Chemistry: 1998
William P., Murphy, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: ",1987,died,1934,1892,1987,1934
829,"Miguel Angel, Asturias, ""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America"", Literature: 1974
William, Vickrey, ""for their fundamental contributions to the economic theory of incentives under asymmetric information"", Economics: 1996
Günter, Grass, ""whose frolicsome black fables portray the forgotten face of history"", Literature: 2015
Luigi, Pirandello, ""for his bold and ingenious revival of dramatic and scenic art"", Literature: ",1936,died,1934,1867,1936,1934
830,"Ernesto Teodoro, Moneta, ""for his work in the press and in peace meetings both public and private for an understanding between France and Italy"", Peace: 1918
Christiaan, Eijkman, ""for his discovery of the antineuritic vitamin"", Medicine: 1930
Ei-ichi, Negishi, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: 2021
Joshua, Lederberg, ""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"", Medicine: ",2008,died,1958,1925,2008,1958
831,"Charles J., Pedersen, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: 1989
Daniel, Nathans, ""for the discovery of restriction enzymes and their application to problems of molecular genetics"", Medicine: 1999
Donald A., Glaser, ""for the invention of the bubble chamber"", Physics: 2013
Gerald M., Edelman, ""for their discoveries concerning the chemical structure of antibodies"", Medicine: ",2014,died,1972,1929,2014,1972
832,"Mario J., Molina, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: 2020
Henri, La Fontaine, ""for his unparalleled contribution to the organization of peaceful internationalism"", Peace: 1943
Franco, Modigliani, ""for his pioneering analyses of saving and of financial markets"", Economics: 2003
Alfred, Kastler, ""for the discovery and development of optical methods for studying Hertzian resonances in atoms"", Physics: ",1984,died,1966,1902,1984,1966
833,"Yves, Chauvin, ""for the development of the metathesis method in organic synthesis"", Chemistry: 2015
Fredrik, Bajer, ""for their long time work for the cause of peace as politicians peace society leaders orators and authors"", Peace: 1922
Juan Ramón, Jiménez, ""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity"", Literature: 1958
Georges, Pire, ""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity"", Peace: ",1969,died,1958,1910,1969,1958
834,"Paul J., Flory, ""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"", Chemistry: 1985
Richard P., Feynman, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: 1988
Edgar, Adrian, ""for their discoveries regarding the functions of neurons"", Medicine: 1977
Nelson, Mandela, ""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa"", Peace: ",2013,died,1993,1918,2013,1993
835,"Peter, Medawar, ""for discovery of acquired immunological tolerance"", Medicine: 1987
Henrik, Pontoppidan, ""for his authentic descriptions of present-day life in Denmark"", Literature: 1943
Kenneth G., Wilson, ""for his theory for critical phenomena in connection with phase transitions"", Physics: 2013
Wangari, Maathai, ""for her contribution to sustainable development democracy and peace"", Peace: ",2011,died,2004,1940,2011,2004
836,"Michael, Smith, ""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies"", Chemistry: 2000
Rodney R., Porter, ""for their discoveries concerning the chemical structure of antibodies"", Medicine: 1985
John, Bardeen, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: 1991
George, Porter, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: ",2002,died,1967,1920,2002,1967
837,"William B., Shockley, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: 1989
Ernst Otto, Fischer, ""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds"", Chemistry: 2007
Charles Glover, Barkla, ""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"", Physics: 1944
Imre, Kertész, ""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"", Literature: ",2016,died,2002,1929,2016,2002
838,"Philip, Noel-Baker, ""for his longstanding contribution to the cause of disarmament and peace"", Peace: 1982
Nicholas Murray, Butler, ""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind"", Peace: 1947
Donald J., Cram, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: 2001
Baruch S., Blumberg, ""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"", Medicine: ",2011,died,1976,1925,2011,1976
839,"Elias, Canetti, ""for writings marked by a broad outlook a wealth of ideas and artistic power"", Literature: 1994
Pieter, Zeeman, ""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"", Physics: 1943
V. S., Naipaul, ""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories"", Literature: 2018
Georges, Charpak, ""for his invention and development of particle detectors in particular the multiwire proportional chamber"", Physics: ",2010,died,1992,1924,2010,1992
840,"Ilya, Prigogine, ""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures"", Chemistry: 2003
Robert, Koch, ""for his investigations and discoveries in relation to tuberculosis"", Medicine: 1910
Lawrence R., Klein, ""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"", Economics: 2013
Albert, Claude, ""for their discoveries concerning the structural and functional organization of the cell"", Medicine: ",1983,died,1974,1898,1983,1974
841,"Richard, Zsigmondy, ""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry"", Chemistry: 1929
Allan M., Cormack, ""for the development of computer assisted tomography"", Medicine: 1998
Oliver, Smithies, ""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"", Medicine: 2017
Alan, MacDiarmid, ""for the discovery and development of conductive polymers"", Chemistry: ",2007,died,2000,1927,2007,2000
842,"Jean Baptiste, Perrin, ""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium"", Physics: 1942
Karl, Gjellerup, ""for his varied and rich poetry which is inspired by lofty ideals"", Literature: 1919
Kai M., Siegbahn, ""for his contribution to the development of high-resolution electron spectroscopy"", Physics: 2007
Trygve, Haavelmo, ""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"", Economics: ",1999,died,1989,1911,1999,1989
843,"Octavio, Paz, ""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity"", Literature: 1998
Joseph, Brodsky, ""for an all-embracing authorship imbued with clarity of thought and poetic intensity"", Literature: 1996
Roger W., Sperry, ""for his discoveries concerning the functional specialization of the cerebral hemispheres"", Medicine: 1994
Werner, Heisenberg, ""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen"", Physics: ",1976,died,1932,1901,1976,1932
844,"Paul Henri, d'Estournelles de Constant, ""for their prominent position in the international movement for peace and arbitration"", Peace: 1924
Yves, Chauvin, ""for the development of the metathesis method in organic synthesis"", Chemistry: 2015
Hermann, Staudinger, ""for his discoveries in the field of macromolecular chemistry"", Chemistry: 1965
Julian, Schwinger, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: ",1994,died,1965,1918,1994,1965
845,"Adolf, Butenandt, ""for his work on sex hormones"", Chemistry: 1995
Halldór, Laxness, ""for his vivid epic power which has renewed the great narrative art of Iceland"", Literature: 1998
Adolf, von Baeyer, ""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds"", Chemistry: 1917
Walther, Bothe, ""for the coincidence method and his discoveries made therewith"", Physics: ",1957,died,1954,1891,1957,1954
846,"Sir Alexander, Fleming, ""for the discovery of penicillin and its curative effect in various infectious diseases"", Medicine: 1955
Wolfgang, Paul, ""for the development of the ion trap technique"", Physics: 1993
D. Carleton, Gajdusek, ""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"", Medicine: 2008
F. Sherwood, Rowland, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: ",2012,died,1995,1927,2012,1995
847,"Richard, Kuhn, ""for his work on carotenoids and vitamins"", Chemistry: 1967
Robert C., Richardson, ""for their discovery of superfluidity in helium-3"", Physics: 2013
Vitaly L., Ginzburg, ""for pioneering contributions to the theory of superconductors and superfluids"", Physics: 2009
Heike, Kamerlingh Onnes, ""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium"", Physics: ",1926,died,1913,1853,1926,1913
848,"Maurice, Maeterlinck, ""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"", Literature: 1949
Elihu, Root, ""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries"", Peace: 1937
Hans, Spemann, ""for his discovery of the organizer effect in embryonic development"", Medicine: 1941
Emily Greene, Balch, ""for her lifelong work for the cause of peace"", Peace: ",1961,died,1946,1867,1961,1946
849,"Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: 1979
Élie, Ducommun, ""for his untiring and skilful directorship of the Bern Peace Bureau"", Peace: 1906
George C., Marshall, ""for proposing and supervising the plan for the economic recovery of Europe"", Peace: 1959
William, Faulkner, ""for his powerful and artistically unique contribution to the modern American novel"", Literature: ",1962,died,1949,1897,1962,1949
850,"Merton H., Miller, ""for their pioneering work in the theory of financial economics"", Economics: 2000
Günter, Grass, ""whose frolicsome black fables portray the forgotten face of history"", Literature: 2015
Egas, Moniz, ""for his discovery of the therapeutic value of leucotomy in certain psychoses"", Medicine: 1955
Léon, Jouhaux, ""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations"", Peace: ",1954,died,1951,1879,1954,1951
